iform	iclass	category	extension	isa_set	mode	bytes	xed_iform	xed_length	decoder_contract	operand_contract	legality_contract	formatter_contract	evidence_state	blocker
CCMPLE_GPRv_MEMv_DFV_APX_N3	CCMPLE	APX	APXEVEX	APX_F_N3	64	62 f4 78 0e 3b 00	CCMPLE_GPRv_MEMv_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPLE_MEMi8_GPR8i8_DFV_APX_N3	CCMPLE	APX	APXEVEX	APX_F_N3	64	62 f4 78 0e 38 00	CCMPLE_MEMi8_GPR8i8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPLE_MEMi8_IMM8_DFV_APX_N3	CCMPLE	APX	APXEVEX	APX_F_N3	64	62 f4 78 0e 80 38 00	CCMPLE_MEMi8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPLE_MEMv_GPRv_DFV_APX_N3	CCMPLE	APX	APXEVEX	APX_F_N3	64	62 f4 79 0e 39 00	CCMPLE_MEMv_GPRv_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPLE_MEMv_IMM8_DFV_APX_N3	CCMPLE	APX	APXEVEX	APX_F_N3	64	62 f4 78 0e 83 38 00	CCMPLE_MEMv_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPLE_MEMv_IMMz_DFV_APX_N3	CCMPLE	APX	APXEVEX	APX_F_N3	64	62 f4 78 0e 81 38 00 00 00 00	CCMPLE_MEMv_IMMz_DFV_APX_N3	10	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPL_GPR8i8_GPR8i8_DFV_APX_N3	CCMPL	APX	APXEVEX	APX_F_N3	64	62 f4 7c 0c 38 c0	CCMPL_GPR8i8_GPR8i8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPL_GPR8i8_IMM8_DFV_APX_N3	CCMPL	APX	APXEVEX	APX_F_N3	64	62 f4 7c 0c 80 f8 00	CCMPL_GPR8i8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPL_GPR8i8_MEMi8_DFV_APX_N3	CCMPL	APX	APXEVEX	APX_F_N3	64	62 f4 78 0c 3a 00	CCMPL_GPR8i8_MEMi8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPL_GPRv_IMMz_DFV_APX_N3	CCMPL	APX	APXEVEX	APX_F_N3	64	62 f4 7c 0c 81 f8 00 00 00 00	CCMPL_GPRv_IMMz_DFV_APX_N3	10	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPL_GPRv_MEMv_DFV_APX_N3	CCMPL	APX	APXEVEX	APX_F_N3	64	62 f4 79 0c 3b 00	CCMPL_GPRv_MEMv_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPL_MEMi8_GPR8i8_DFV_APX_N3	CCMPL	APX	APXEVEX	APX_F_N3	64	62 f4 78 0c 38 00	CCMPL_MEMi8_GPR8i8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPL_MEMi8_IMM8_DFV_APX_N3	CCMPL	APX	APXEVEX	APX_F_N3	64	62 f4 78 0c 80 38 00	CCMPL_MEMi8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPL_MEMv_GPRv_DFV_APX_N3	CCMPL	APX	APXEVEX	APX_F_N3	64	62 f4 78 0c 39 00	CCMPL_MEMv_GPRv_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPL_MEMv_IMM8_DFV_APX_N3	CCMPL	APX	APXEVEX	APX_F_N3	64	62 f4 78 0c 83 38 00	CCMPL_MEMv_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPL_MEMv_IMMz_DFV_APX_N3	CCMPL	APX	APXEVEX	APX_F_N3	64	62 f4 79 0c 81 38 00 00	CCMPL_MEMv_IMMz_DFV_APX_N3	8	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNBE_GPR8i8_GPR8i8_DFV_APX_N3	CCMPNBE	APX	APXEVEX	APX_F_N3	64	62 f4 7c 07 38 c0	CCMPNBE_GPR8i8_GPR8i8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNBE_GPR8i8_IMM8_DFV_APX_N3	CCMPNBE	APX	APXEVEX	APX_F_N3	64	62 f4 7c 07 80 f8 00	CCMPNBE_GPR8i8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNBE_GPR8i8_MEMi8_DFV_APX_N3	CCMPNBE	APX	APXEVEX	APX_F_N3	64	62 f4 78 07 3a 00	CCMPNBE_GPR8i8_MEMi8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNBE_GPRv_IMMz_DFV_APX_N3	CCMPNBE	APX	APXEVEX	APX_F_N3	64	62 f4 7c 07 81 f8 00 00 00 00	CCMPNBE_GPRv_IMMz_DFV_APX_N3	10	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNBE_GPRv_MEMv_DFV_APX_N3	CCMPNBE	APX	APXEVEX	APX_F_N3	64	62 f4 79 07 3b 00	CCMPNBE_GPRv_MEMv_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNBE_MEMi8_GPR8i8_DFV_APX_N3	CCMPNBE	APX	APXEVEX	APX_F_N3	64	62 f4 78 07 38 00	CCMPNBE_MEMi8_GPR8i8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNBE_MEMi8_IMM8_DFV_APX_N3	CCMPNBE	APX	APXEVEX	APX_F_N3	64	62 f4 78 07 80 38 00	CCMPNBE_MEMi8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNBE_MEMv_GPRv_DFV_APX_N3	CCMPNBE	APX	APXEVEX	APX_F_N3	64	62 f4 79 07 39 00	CCMPNBE_MEMv_GPRv_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNBE_MEMv_IMM8_DFV_APX_N3	CCMPNBE	APX	APXEVEX	APX_F_N3	64	62 f4 79 07 83 38 00	CCMPNBE_MEMv_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNBE_MEMv_IMMz_DFV_APX_N3	CCMPNBE	APX	APXEVEX	APX_F_N3	64	62 f4 78 07 81 38 00 00 00 00	CCMPNBE_MEMv_IMMz_DFV_APX_N3	10	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNB_GPR8i8_GPR8i8_DFV_APX_N3	CCMPNB	APX	APXEVEX	APX_F_N3	64	62 f4 7c 03 38 c0	CCMPNB_GPR8i8_GPR8i8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNB_GPR8i8_IMM8_DFV_APX_N3	CCMPNB	APX	APXEVEX	APX_F_N3	64	62 f4 7c 03 80 f8 00	CCMPNB_GPR8i8_IMM8_DFV_APX_N3	7	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNB_GPR8i8_MEMi8_DFV_APX_N3	CCMPNB	APX	APXEVEX	APX_F_N3	64	62 f4 78 03 3a 00	CCMPNB_GPR8i8_MEMi8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNB_GPRv_IMMz_DFV_APX_N3	CCMPNB	APX	APXEVEX	APX_F_N3	64	62 f4 7c 03 81 f8 00 00 00 00	CCMPNB_GPRv_IMMz_DFV_APX_N3	10	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNB_GPRv_MEMv_DFV_APX_N3	CCMPNB	APX	APXEVEX	APX_F_N3	64	62 f4 78 03 3b 00	CCMPNB_GPRv_MEMv_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
CCMPNB_MEMi8_GPR8i8_DFV_APX_N3	CCMPNB	APX	APXEVEX	APX_F_N3	64	62 f4 78 03 38 00	CCMPNB_MEMi8_GPR8i8_DFV_APX_N3	6	exact	exact	structural_only	exact	decode_exact	cpu_legality_and_semantics_pending
