form_id	internal_name	mnemonic	assembly_template	feature_condition_id	condition_digest	preferred_digest	operation_id
T32/w/dpint_shiftr/MOV_r_T3	ASRB	ASR	ASR<rule:AL_option__4><rule:DOT>W<rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__5>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	ASR_MOV_r
T32/w/dpint_shiftr/MOV_r_T3	LSL	LSL	LSL<rule:al_option_choice__4><rule:qn_option_choice><rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__4>	0	c0cc603a5fc5c4c7763e04d2d29199bf0a4054ab5a5beba5ebd1db27895da95f	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	LSL_MOV_r
T32/w/dpint_shiftr/MOV_r_T3	LSLB	LSL	LSL<rule:AL_option__4><rule:DOT>W<rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__4>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	LSL_MOV_r
T32/w/dpint_shiftr/MOV_r_T3	LSR	LSR	LSR<rule:al_option_choice__4><rule:qn_option_choice><rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__3>	0	4edc2a2501f9a7e2347f815b1f3ffbcb610190281a6420dd35e55800950978b9	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	LSR_MOV_r
T32/w/dpint_shiftr/MOV_r_T3	LSRB	LSR	LSR<rule:AL_option__4><rule:DOT>W<rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__3>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	LSR_MOV_r
T32/w/dpint_shiftr/MOV_r_T3	ROR	ROR	ROR<rule:al_option_choice__4><rule:qn_option_choice><rule:SPACE><rule:rd_choice__20><rule:Rm__10><rule:COMMA><rule:hash><rule:imm3_imm2__6>	0	ff054ca5b2305c33a50b588c6a379f692001993cc25d76f8e5f86ed87acda341	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	ROR_MOV_r
T32/w/dpint_shiftr/MOV_r_T3	T3B	MOV	MOV<rule:al_option_choice__4><rule:DOT>W<rule:SPACE><rule:Rd__25><rule:COMMA><rule:Rm__10><rule:OPT_SPACE><rule:lsl0_choice>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	bd894daf4ba4e7be530771f75f5eb8046f45df67685737509ab6375c6f8ed900	MOV_r
T32/w/dpint_shiftr/MOV_r_T3	T3C	MOV	MOV<rule:AL_option__4><rule:DOT>W<rule:SPACE><rule:Rd__25><rule:COMMA><rule:Rm__10><rule:OPT_SPACE><rule:shift_option_imm3_imm2_choice__2>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	5b8d2b4d298166a7e30655501773ce7cb0aad80cafa556f632602f8b6464a95e	MOV_r
T32/w/dpint_shiftr/MOV_r_T3_RRX	RRX	RRX	RRX<rule:al_option_choice__4><rule:qn_option_choice><rule:SPACE><rule:rd_choice__20><rule:Rm__10>	0	0112e36e8083bee167a929ff76aaf3e72306017b641eab6947937b574a532fbd	3f3e8c0ebb34eeb59b973d8c6b666af50137c2d7825c63003348002d7b0a1d8f	RRX_MOV_r
T32/w/dpint_shiftr/MVNS_r_T2	T2B	MVNS	MVNS<rule:DOT>W<rule:SPACE><rule:Rd__25><rule:COMMA><rule:Rm__10>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	82a23fee9b03bb1d0e9682f30eb13c585e5edf798fbcd185fa515a43b231950a	MVN_r
T32/w/dpint_shiftr/MVN_r_T2	T2B	MVN	MVN<rule:AL_option__4><rule:DOT>W<rule:SPACE><rule:Rd__25><rule:COMMA><rule:Rm__10>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	8a4e0662ae8538a72696a3cc1ab155d98213428a491a933ec6147e47aa04fa61	MVN_r
T32/w/dpint_shiftr/ORRS_r_T2	T2B	ORRS	ORRS<rule:DOT>W<rule:SPACE><rule:rd_choice__19><rule:Rn__37><rule:COMMA><rule:Rm__19>	0	7e608b5f93e7ee8b2284bc4fcdf3790eaf376cb98294e96322931968c924b4bc	ca0adf7b4381887ca9518574aec4258a5d636b54310b1d3070d6b9d56417a23b	ORR_r
T32/w/dpint_shiftr/ORR_r_T2	T2B	ORR	ORR<rule:AL_option__4><rule:DOT>W<rule:SPACE><rule:rd_choice__19><rule:Rn__37><rule:COMMA><rule:Rm__19>	0	7e608b5f93e7ee8b2284bc4fcdf3790eaf376cb98294e96322931968c924b4bc	24012b263dc8946c7989b9eb7fa5bc29e641e851fad11f5410e8599706311ce4	ORR_r
T32/w/dpint_shiftr/SBCS_r_T2	T2B	SBCS	SBCS<rule:DOT>W<rule:SPACE><rule:rd_choice__19><rule:Rn__37><rule:COMMA><rule:Rm__19>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	ca0adf7b4381887ca9518574aec4258a5d636b54310b1d3070d6b9d56417a23b	SBC_r
T32/w/dpint_shiftr/SBC_r_T2	T2B	SBC	SBC<rule:AL_option__4><rule:DOT>W<rule:SPACE><rule:rd_choice__19><rule:Rn__37><rule:COMMA><rule:Rm__19>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	24012b263dc8946c7989b9eb7fa5bc29e641e851fad11f5410e8599706311ce4	SBC_r
T32/w/dpint_shiftr/SUBS_r_T2	T2B	SUBS	SUBS<rule:DOT>W<rule:SPACE><rule:rd_choice__19><rule:Rn__43><rule:COMMA><rule:Rm__19>	0	7cc3effb667cf2dd5d59d9495bd46cf40e1667f3718427c7e5fa570ce5acf9f4	6823464306f95beecba30a230f51b72d0b68eaed7de0053dd2867e4f08d0cac0	SUB_r
T32/w/dpint_shiftr/SUB_SP_r_T1	T1B	SUB	SUB<rule:al_option_choice__4><rule:DOT>W<rule:SPACE><rule:rd_choice__21><rule:SP><rule:COMMA><rule:Rm__19>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	SUB_SP_r
T32/w/dpint_shiftr/SUB_r_T2	T2B	SUB	SUB<rule:AL_option__4><rule:DOT>W<rule:SPACE><rule:rd_choice__19><rule:Rn__43><rule:COMMA><rule:Rm__19>	0	a2aa3c58702259f39c201aaa346f292674e7629e97a4591983e231d7cf6e2a2a	e2c1faaf8ee5437996fd8125c99a683a423220dac9077c3128c948545261abdb	SUB_r
T32/w/dpint_shiftr/TST_r_T2	T2B	TST	TST<rule:al_option_choice__4><rule:DOT>W<rule:SPACE><rule:Rn__37><rule:COMMA><rule:Rm__19>	0	5542c844827f2f4220b0897a7afaaa89e2e6d48f6ee2db579cc3e8e9d7369d5d	fdad78a1aeed89e94f0babef9dd201e8a02d26ec5d81cbd32628dcf4999649ec	TST_r
T32/w/dstd/lddlit/LDRD_l_T1	T1B	LDRD	LDRD<rule:al_option_choice__4><rule:qn_option_choice><rule:SPACE><rule:Rt__19><rule:COMMA><rule:Rt2__7><rule:COMMA>[PC<rule:COMMA><rule:hash><rule:plus_or_minus_option><rule:imm__130>]	0	266beb25869b29b305f2934ad23d2c3c4f8aee2ceb212dec2d5eefa3394418c0	850f8e42ca7684e4cadd817bea33cd2105d151a5bf077b3f35a6ed77d5b639bd	LDRD_l
