leaf_index	instruction_set	width	fixed_mask	fixed_value	fixed_bits	internal_name	mnemonic	assembly_template	feature_condition_id	all_conditions_digest	assertions_digest	operation_id	alias_count	form_id	source_order
4175	A64	32	0xffe0e000	0xa4404000	14	ld1b_z_p_br_u32	LD1B	LD1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.S<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:COMMA><rule:Xm__4>]	84	f25256393b7f7ba1131c033461b295675570d015e37693d89645297f021efbdd	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1b_z_p_br	0	A64/sve/sve_memcld/sve_mem_cld_ss/ld1b_z_p_br_u32	3278
4176	A64	32	0xffe0e000	0xa4406000	14	ldff1b_z_p_br_u32	LDFF1B	LDFF1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.S<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_Xm__2>]	232	40108c832874d46fd650c2fb06a017b4b85aec68602a64814483b346ed65a440	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ldff1b_z_p_br	0	A64/sve/sve_memcld/sve_mem_cldff_ss/ldff1b_z_p_br_u32	3294
4177	A64	32	0xfff0e000	0xa440a000	15	ld1b_z_p_bi_u32	LD1B	LD1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.S<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__10>]	92	f318c8c256fc8a0f8389aba153e32c8afa776eafdb7189c6a57b1310da0e936a	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1b_z_p_bi	0	A64/sve/sve_memcld/sve_mem_cld_si/ld1b_z_p_bi_u32	3315
4178	A64	32	0xffe0e000	0xa440c000	14	ld3b_z_p_br_contiguous	LD3B	LD3B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt1__5>.B<rule:COMMA><rule:Zt2__4>.B<rule:COMMA><rule:Zt3__2>.B<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:COMMA><rule:Xm__4>]	42	8208a767ea76fd59aa6c45ed5fb033009b068790baacaeaefebf2fe04a0ece57	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld3b_z_p_br	0	A64/sve/sve_memcld/sve_mem_eld_ss/ld3b_z_p_br_contiguous	3350
4179	A64	32	0xfff0e000	0xa440e000	15	ld3b_z_p_bi_contiguous	LD3B	LD3B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt1__5>.B<rule:COMMA><rule:Zt2__4>.B<rule:COMMA><rule:Zt3__2>.B<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__22>]	43	aea8c59c4f1552701f3557c7c60f90d91a5525000b4948ed68729127a0b96a41	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld3b_z_p_bi	0	A64/sve/sve_memcld/sve_mem_eld_si/ld3b_z_p_bi_contiguous	3366
4180	A64	32	0xfff0e000	0xa450a000	15	ldnf1b_z_p_bi_u32	LDNF1B	LDNF1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.S<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__10>]	232	40108c832874d46fd650c2fb06a017b4b85aec68602a64814483b346ed65a440	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ldnf1b_z_p_bi	0	A64/sve/sve_memcld/sve_mem_cldnf_si/ldnf1b_z_p_bi_u32	3331
4181	A64	32	0xffe0e000	0xa4604000	14	ld1b_z_p_br_u64	LD1B	LD1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.D<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:COMMA><rule:Xm__4>]	84	f25256393b7f7ba1131c033461b295675570d015e37693d89645297f021efbdd	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1b_z_p_br	0	A64/sve/sve_memcld/sve_mem_cld_ss/ld1b_z_p_br_u64	3279
4182	A64	32	0xffe0e000	0xa4606000	14	ldff1b_z_p_br_u64	LDFF1B	LDFF1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.D<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_Xm__2>]	232	40108c832874d46fd650c2fb06a017b4b85aec68602a64814483b346ed65a440	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ldff1b_z_p_br	0	A64/sve/sve_memcld/sve_mem_cldff_ss/ldff1b_z_p_br_u64	3295
4183	A64	32	0xfff0e000	0xa460a000	15	ld1b_z_p_bi_u64	LD1B	LD1B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt>.D<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:optional_imm__10>]	92	f318c8c256fc8a0f8389aba153e32c8afa776eafdb7189c6a57b1310da0e936a	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld1b_z_p_bi	0	A64/sve/sve_memcld/sve_mem_cld_si/ld1b_z_p_bi_u64	3316
4184	A64	32	0xffe0e000	0xa460c000	14	ld4b_z_p_br_contiguous	LD4B	LD4B<rule:SPACE>{<rule:OPT_SPACE><rule:Zt1__5>.B<rule:COMMA><rule:Zt2__4>.B<rule:COMMA><rule:Zt3__2>.B<rule:COMMA><rule:Zt4__3>.B<rule:OPT_SPACE>}<rule:COMMA><rule:Pg>/Z<rule:COMMA>[<rule:XnSP__3><rule:COMMA><rule:Xm__4>]	42	8208a767ea76fd59aa6c45ed5fb033009b068790baacaeaefebf2fe04a0ece57	74234e98afe7498fb5daf1f36ac2d78acc339464f950703b8c019892f982b90b	ld4b_z_p_br	0	A64/sve/sve_memcld/sve_mem_eld_ss/ld4b_z_p_br_contiguous	3351
