binding_set_id	first_binding	binding_count	digest
145	1856	14	5889f68a8e2ddc05ba2d0153c55fcccb81ceee86e43b07ef2fa263f7bd262561
146	1870	13	cf44cdcac859331ad48760bb3b687263b4a833d3a738429676705e463b435fb8
147	1883	11	94f8051af4fb280dd8173ce4aa22f6e6a4c7317bad518cd370f4f55e73c2c30b
148	1894	13	673bdb7f04977bd199b1934c3f437b2572d98b10d81a8d37c8f4bf01efe86595
149	1907	13	03fa41ce3616864f04da586b597c5bb623444a4e65d59ed766c327d4eb2480cf
150	1920	13	d073a4efb16620eecbdf3af143f82a92eca1728106a04aa4e2d50b2fd24321d2
151	1933	13	28f31dfeaad5fd46518e4f3dec3de51b63463bb01c0badbf8e3e31c1cc1c12bf
152	1946	13	db0e3f30d35bdec236dab22834e28deeea5cbf83b025238d69d109da966dfdbe
153	1959	12	5281a4e838f2b2e5ac583e52012ffad14d3a74f07d0160e7494fa3c38f1cb506
154	1971	14	caf91c2b7296dda807351af5337a0f5ee476927e86ab9a75138767831b41ba15
155	1985	13	2b80b4d3e6652a74ffdc6d32e4050d9d300b8101d7564ab56914da5da244f8c7
156	1998	13	1d0580a32bb3959dee42a231c0537f2c3e2b1dfdc31d78d438c7b8775e468b6b
157	2011	13	76cd03f0da30e47242539439a05d05372436b66effc08015b132a69901c0fda4
158	2024	15	9ba0a01aa98e99fd5e326589fbde7b21d626803b4add987932ca92f39792df91
159	2039	15	52d13b7b96e89312a853d35b2232a3f34ff18ea15f2955e6354dc014873dda64
160	2054	18	be129b160c528acca211ab56b8be5ef3cbd9882a949294870eecb2e142e03890
161	2072	18	2082ec1d61f313eb036966aaafc36d0a017457b8a590dd01cd6edfe98ee2d02d
162	2090	13	21cc3157d2d96fae03d6ee89c313ad48e87d83a08cc8e9b6890af331cc749a45
163	2103	12	8fbd26a04363cd329d7e189900190ebe42ccf19d548ce7d7f837761a31e471fc
164	2115	13	aaa0a7d3b3d1ddd00c7ff57927fe3b25830654e695331285635e5a5df693ab23
165	2128	13	67e7755a2eeb23fec06f9dc4b60cc869fe04f24c9187762e03819c6e8a870949
166	2141	12	673d36ad36015b51d0c806dca51557b49527868ab2c8419f77f0ad54debf7cb9
167	2153	12	a584805eae44155719b20867a847d775ceed4303707e1da3a40a13f48d5549ef
168	2165	11	7fed946de910dae225d69a3c203e925c7630098f1a18d46fd2e94bbb469d8208
169	2176	12	5b350ac479551e6e840f11a51f8781da3419d8f06773575224beac825c4ab60e
170	2188	9	ac98475885235f2e89ec51b7ff629f32362d7bd6d3b31980d5254741b41dd122
171	2197	9	5551d88c0672168390d107e77fe0a3af8cd35d31014f860fc308a5d9d88b02ed
172	2206	11	01ec817fe00137961f0aab3c8c2808a1305f380a84bc710e8a9396afb401b7a8
173	2217	8	61277d514181f47880eebe8fb3099c380efe58f49f02374b908c9c41f43776e4
174	2225	10	70f24b53e4d15e56fcfa830463add88df6bba58fe1fb4f9880300eb2440be3cd
175	2235	8	df44723a6e05e8d878557d04ede3348e0f047774353a986510779278a2298585
176	2243	12	f5209b0a3aef14aeb9ea2dd4fc6b1934747e4e1b14c7249fd5d9fd8395303f92
177	2255	12	002901347054b9991da6af4c26151ca29b9cb751cb7701b76a7c69d33133e73a
178	2267	11	ce63fd5963f7e3e31ce4341245c727837fa5ed1cb70e8fb19a248c075ddfd2e9
