form_id	source_form_id	mnemonic	isa	width	witness_a	witness_b	witness_31	operand_access	capstone_real_name	capstone_groups
5631	A64/dpreg/dp_1src/AUTIB_64P_dp_1src	autib	A64	32	0xdac114c1	0xdac114e2	0xdac117ff	3,1	autib	HasPAuth
5632	A64/dpreg/dp_1src/AUTDA_64P_dp_1src	autda	A64	32	0xdac118c1	0xdac118e2	0xdac11bff	3,1	autda	HasPAuth
5633	A64/dpreg/dp_1src/AUTDB_64P_dp_1src	autdb	A64	32	0xdac11cc1	0xdac11ce2	0xdac11fff	3,1	autdb	HasPAuth
5634	A64/dpreg/dp_1src/PACIZA_64Z_dp_1src	paciza	A64	32	0xdac123e1	0xdac123e2	0xdac123ff	3	paciza	HasPAuth
5635	A64/dpreg/dp_1src/PACIZB_64Z_dp_1src	pacizb	A64	32	0xdac127e1	0xdac127e2	0xdac127ff	3	pacizb	HasPAuth
5636	A64/dpreg/dp_1src/PACDZA_64Z_dp_1src	pacdza	A64	32	0xdac12be1	0xdac12be2	0xdac12bff	3	pacdza	HasPAuth
5637	A64/dpreg/dp_1src/PACDZB_64Z_dp_1src	pacdzb	A64	32	0xdac12fe1	0xdac12fe2	0xdac12fff	3	pacdzb	HasPAuth
5638	A64/dpreg/dp_1src/AUTIZA_64Z_dp_1src	autiza	A64	32	0xdac133e1	0xdac133e2	0xdac133ff	3	autiza	HasPAuth
5639	A64/dpreg/dp_1src/AUTIZB_64Z_dp_1src	autizb	A64	32	0xdac137e1	0xdac137e2	0xdac137ff	3	autizb	HasPAuth
5640	A64/dpreg/dp_1src/AUTDZA_64Z_dp_1src	autdza	A64	32	0xdac13be1	0xdac13be2	0xdac13bff	3	autdza	HasPAuth
5641	A64/dpreg/dp_1src/AUTDZB_64Z_dp_1src	autdzb	A64	32	0xdac13fe1	0xdac13fe2	0xdac13fff	3	autdzb	HasPAuth
5642	A64/dpreg/dp_1src/XPACI_64Z_dp_1src	xpaci	A64	32	0xdac143e1	0xdac143e2	0xdac143ff	3	xpaci	HasPAuth
5643	A64/dpreg/dp_1src/XPACD_64Z_dp_1src	xpacd	A64	32	0xdac147e1	0xdac147e2	0xdac147ff	3	xpacd	HasPAuth
5648	A64/dpreg/dp_1src/AUTIASPPCR_64LRR_dp_1src	autiasppcr	A64	32	0xdac1903e	0xdac1905e	0xdac193fe	1	autiasppc	HasPAuthLR
5649	A64/dpreg/dp_1src/AUTIBSPPCR_64LRR_dp_1src	autibsppcr	A64	32	0xdac1943e	0xdac1945e	0xdac197fe	1	autibsppc	HasPAuthLR
5686	A64/dpreg/addsub_carry/ADC_32_addsub_carry	adc	A64	32	0x1a0b00c1	0x1a0c00e2	0x1a1f03ff	2,1,1	adc	
5687	A64/dpreg/addsub_carry/ADCS_32_addsub_carry	adcs	A64	32	0x3a0b00c1	0x3a0c00e2	0x3a1f03ff	2,1,1	adcs	
5688	A64/dpreg/addsub_carry/SBC_32_addsub_carry	sbc	A64	32	0x5a0b00c1	0x5a0c00e2	0x5a1f03ff	2,1,1	sbc	
5689	A64/dpreg/addsub_carry/SBCS_32_addsub_carry	sbcs	A64	32	0x7a0b00c1	0x7a0c00e2	0x7a1f03ff	2,1,1	sbcs	
5690	A64/dpreg/addsub_carry/ADC_64_addsub_carry	adc	A64	32	0x9a0b00c1	0x9a0c00e2	0x9a1f03ff	2,1,1	adc	
5691	A64/dpreg/addsub_carry/ADCS_64_addsub_carry	adcs	A64	32	0xba0b00c1	0xba0c00e2	0xba1f03ff	2,1,1	adcs	
