descriptor_index	iform_id	name_id	group_id	decode_bit_id	decode_bitmap_index	decode_bitmap_mask	iclass	isa_set
3165	3308	724	120	68	1	0x0000000000000010	TILEZERO	AMX_TILE_BASE
3166	3293	931	100	49	0	0x0002000000000000	TILELOADDRS	AMX_MOVRS
3167	3291	932	100	49	0	0x0002000000000000	TILELOADDRST1	AMX_MOVRS
3168	3297	721	85	43	0	0x0000080000000000	TILELOADD	AMX_TILE
3169	3295	722	85	43	0	0x0000080000000000	TILELOADDT1	AMX_TILE
3170	3306	723	85	43	0	0x0000080000000000	TILESTORED	AMX_TILE
3171	6622	1104	108	62	0	0x4000000000000000	VPDPBSSD	AVX_VNNI_INT8
3172	6623	1104	108	62	0	0x4000000000000000	VPDPBSSD	AVX_VNNI_INT8
3173	6626	1104	108	62	0	0x4000000000000000	VPDPBSSD	AVX_VNNI_INT8
3174	6627	1104	108	62	0	0x4000000000000000	VPDPBSSD	AVX_VNNI_INT8
3175	6642	1106	108	62	0	0x4000000000000000	VPDPBSUD	AVX_VNNI_INT8
3176	6643	1106	108	62	0	0x4000000000000000	VPDPBSUD	AVX_VNNI_INT8
3177	6646	1106	108	62	0	0x4000000000000000	VPDPBSUD	AVX_VNNI_INT8
3178	6647	1106	108	62	0	0x4000000000000000	VPDPBSUD	AVX_VNNI_INT8
3179	6662	715	83	61	0	0x2000000000000000	VPDPBUSD	AVX_VNNI
3180	6663	715	83	61	0	0x2000000000000000	VPDPBUSD	AVX_VNNI
3181	6666	715	83	61	0	0x2000000000000000	VPDPBUSD	AVX_VNNI
3182	6667	715	83	61	0	0x2000000000000000	VPDPBUSD	AVX_VNNI
3183	6682	1108	108	62	0	0x4000000000000000	VPDPBUUD	AVX_VNNI_INT8
3184	6683	1108	108	62	0	0x4000000000000000	VPDPBUUD	AVX_VNNI_INT8
3185	6686	1108	108	62	0	0x4000000000000000	VPDPBUUD	AVX_VNNI_INT8
3186	6687	1108	108	62	0	0x4000000000000000	VPDPBUUD	AVX_VNNI_INT8
3187	6612	1105	108	62	0	0x4000000000000000	VPDPBSSDS	AVX_VNNI_INT8
3188	6613	1105	108	62	0	0x4000000000000000	VPDPBSSDS	AVX_VNNI_INT8
3189	6616	1105	108	62	0	0x4000000000000000	VPDPBSSDS	AVX_VNNI_INT8
3190	6617	1105	108	62	0	0x4000000000000000	VPDPBSSDS	AVX_VNNI_INT8
3191	6632	1107	108	62	0	0x4000000000000000	VPDPBSUDS	AVX_VNNI_INT8
3192	6633	1107	108	62	0	0x4000000000000000	VPDPBSUDS	AVX_VNNI_INT8
3193	6636	1107	108	62	0	0x4000000000000000	VPDPBSUDS	AVX_VNNI_INT8
