xed_index	iclass	macro_token	name_id	formatter_mnemonic	allocation	record_count
370	INT	INT	68	int	existing	1
371	INT1	INT1	69	int1	existing	1
372	INT3	INT3	70	int3	existing	1
373	INTO	INTO	71	into	existing	1
374	INVD	INVD	72	invd	existing	1
375	INVEPT	INVEPT	216	invept	existing	3
376	INVLPG	INVLPG	73	invlpg	existing	1
377	INVLPGA	INVLPGA	217	invlpga	existing	1
378	INVLPGB	INVLPGB	1328	invlpgb	appended	2
379	INVPCID	INVPCID	1160	invpcid	existing	3
380	INVVPID	INVVPID	218	invvpid	existing	3
381	IRET	IRET	74	iret	existing	3
382	IRETD	IRETD	75	iretd	existing	3
383	IRETQ	IRETQ	76	iretq	existing	1
384	JB	JB	79	jb	existing	4
385	JBE	JBE	80	jbe	existing	4
386	JCXZ	JCXZ	81	jcxz	existing	1
387	JECXZ	JECXZ	83	jecxz	existing	2
388	JL	JL	86	jl	existing	4
389	JLE	JLE	87	jle	existing	4
390	JMP	JMP	88	jmp	existing	6
391	JMPABS	JMPABS	803	jmpabs	existing	1
392	JMP_FAR	JMP_FAR	1329	jmp far	appended	2
393	JNB	JNB	1330	jnb	appended	4
394	JNBE	JNBE	1331	jnbe	appended	4
395	JNL	JNL	1332	jnl	appended	4
396	JNLE	JNLE	1333	jnle	appended	4
397	JNO	JNO	90	jno	existing	4
398	JNP	JNP	91	jnp	existing	4
399	JNS	JNS	92	jns	existing	4
400	JNZ	JNZ	1334	jnz	appended	4
401	JO	JO	93	jo	existing	4
402	JP	JP	94	jp	existing	4
403	JRCXZ	JRCXZ	95	jrcxz	existing	1
404	JS	JS	96	js	existing	4
405	JZ	JZ	1335	jz	appended	4
406	KADDB	KADDB	954	kaddb	existing	1
407	KADDD	KADDD	955	kaddd	existing	1
408	KADDQ	KADDQ	956	kaddq	existing	1
409	KADDW	KADDW	957	kaddw	existing	1
410	KANDB	KANDB	958	kandb	existing	1
411	KANDD	KANDD	959	kandd	existing	1
412	KANDNB	KANDNB	960	kandnb	existing	1
413	KANDND	KANDND	961	kandnd	existing	1
414	KANDNQ	KANDNQ	962	kandnq	existing	1
415	KANDNW	KANDNW	943	kandnw	existing	1
416	KANDQ	KANDQ	963	kandq	existing	1
417	KANDW	KANDW	944	kandw	existing	1
418	KMOVB	KMOVB	964	kmovb	existing	10
419	KMOVD	KMOVD	965	kmovd	existing	12
420	KMOVQ	KMOVQ	966	kmovq	existing	10
421	KMOVW	KMOVW	945	kmovw	existing	10
422	KNOTB	KNOTB	967	knotb	existing	1
423	KNOTD	KNOTD	968	knotd	existing	1
424	KNOTQ	KNOTQ	969	knotq	existing	1
425	KNOTW	KNOTW	946	knotw	existing	1
426	KORB	KORB	970	korb	existing	1
427	KORD	KORD	971	kord	existing	1
428	KORQ	KORQ	972	korq	existing	1
429	KORTESTB	KORTESTB	973	kortestb	existing	1
430	KORTESTD	KORTESTD	974	kortestd	existing	1
