descriptor_index	iform_id	iclass_id	encoding_space	map	opcode	opcode_hex	iclass	iform	isa_set	extension	category	pattern	pattern_digest	attributes	mode	easz	eosz	prefix	has_modrm	mod_required	reg_required	rm_required	partial_opcode	rexw	rex2	evex_pp	u_bit	vl	nd	nf	undocumented	cpuid_digest	operand_digest	record_digest	source_order
30	39	5	legacy	0	17	0x11	ADC	ADC_GPRv_GPRv_11	I86	BASE	BINARY	0x11 MOD[0b11] MOD=3 REG[rrr] RM[nnn]	7f86490ccb43e1d211e263d8c40073a6fad8c0b5eb3c7735c7f3f6151d51b0a8		16,32,64	16,32,64	16,32,64		True	3			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	7d143f10222d7c46cae6f8984cb52073470e843b30e83e94045d5e268f1ed05d	af76e94d5476ed9e10d9e9387c20a67df6390c47c099db2eb5da32a664f82b2e	409
31	66	5	legacy	0	17	0x11	ADC	ADC_MEMv_GPRv	I86	BASE	BINARY	0x11 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() LOCK=0	41bb74c14754fe9538bc1d0112dd26386c3e79e7bbe435372dc4afec0cc4207c	LOCKABLE	16,32,64	16,32,64	16,32,64		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	e6b52595889cc6daf2f2c73b41cd0de6df3d3f4fa9f4845dd807f57c64df679b	2f49b3a01eb09cb2f51368731342ee1bc3d1c51a10e56317314383fdac16aab4	408
32	58	1200	legacy	0	17	0x11	ADC_LOCK	ADC_LOCK_MEMv_GPRv	I86	BASE	BINARY	0x11 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM() LOCK=1	a60c6b7a15ecae8a43d517b3e69dc39da0ab5b8bb6435f9b195fbd31a4ffcc44	HLE_ACQ_ABLE,HLE_REL_ABLE,LOCKED	16,32,64	16,32,64	16,32,64		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	e6b52595889cc6daf2f2c73b41cd0de6df3d3f4fa9f4845dd807f57c64df679b	a61339be389da623a65d0510d3b9f8cfd5bfd0d2fac38a07d316f1c50d160d72	397
33	27	5	legacy	0	18	0x12	ADC	ADC_GPR8_GPR8_12	I86	BASE	BINARY	0x12 MOD[0b11] MOD=3 REG[rrr] RM[nnn]	f57bec9de23c3acee090f551b500211e6143e59644ac7d80061e11ce108004c8	BYTEOP	16,32,64	16,32,64	8		True	3			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	1e32ccdc69cd666e8b2b859b25990f693525fbf1097a40494e979cdc4a065427	e770be3926316eeb6d81728f088e546af651ff7cc5f7b0cf8bb5b38405f62b5a	411
34	30	5	legacy	0	18	0x12	ADC	ADC_GPR8_MEMb	I86	BASE	BINARY	0x12 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()	47c593131649bd8b011eadaa59f23a545e49978a520da02da250df128d29a357	BYTEOP	16,32,64	16,32,64	8		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	273cbbcb799994754615266688f65d97db33969f181160ffffe2614d1b9015ad	5be58a14b3dcf34814833a731dfcc6c018d69e288658b78556d667adc02bc768	410
35	40	5	legacy	0	19	0x13	ADC	ADC_GPRv_GPRv_13	I86	BASE	BINARY	0x13 MOD[0b11] MOD=3 REG[rrr] RM[nnn]	04ff531316fbfd118b794851883eac11e1df1f157e098d274763b01558ca90ba		16,32,64	16,32,64	16,32,64		True	3			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	7ded301073542a9d834e2e2ce5c201ede5212adc7fc88a601bd916711e5580c4	83bdb1c41c8d4e32a68f40f61369df3cfddf3bc704efd149075d175efa32d7c1	413
36	50	5	legacy	0	19	0x13	ADC	ADC_GPRv_MEMv	I86	BASE	BINARY	0x13 MOD[mm] MOD!=3 REG[rrr] RM[nnn] MODRM()	b90a01a10a0fad4b3e268461e24ae3ddb195c1c4a46f7fef5c309faeb40e5414		16,32,64	16,32,64	16,32,64		True	0,1,2			False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	af2a0ee58450ce5712b92b0f1db0f9fb9ee03e583bbf65f404c07a1548e7baee	4a46101d97e9ca28a22010867d60e0380662fe0b738fbec6009738cdd820b244	412
37	25	5	legacy	0	20	0x14	ADC	ADC_AL_IMMb	I86	BASE	BINARY	0x14 SIMM8()	90abe09b4b4b0bff49cb7382f50e442e03bf99f6b67cde16300c9745e7a42440	BYTEOP	16,32,64	16,32,64	8		False				False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	763db3e9314ac407824f7b282d89818d9d14e2720a2ec0965ac2c8fe3671699d	647a153746f383e0cf6e818f6757521aec2b10ecb4365252d176940042d2d091	414
38	72	5	legacy	0	21	0x15	ADC	ADC_OrAX_IMMz	I86	BASE	BINARY	0x15 SIMMz()	d5e9aaa2d6cad34e5823e1d6f1c64fb2fb990cdf4600610f5eeb0455d5a88ab2		16,32,64	16,32,64	16,32,64		False				False				0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	cf0a489c48d517c7523359fd244afc4bc4936507ab73f894f6e3021e7f6fbd54	5ebdb829c7ad91c6a01bc29019afb7cad5d03bdc9374669aa0de06cdda7b8a19	415
39	2486	142	legacy	0	22	0x16	PUSH	PUSH_SS	I86	BASE	PUSH	0x16 MODE!=2	b19606c779dea8c17b7aa21a8145e285d623377f876d3076f253b127e6b57157		16,32	16,32,64	16,32,64		False				False		PROHIBITED		0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	0c8faa2d6d9e45b2e83e2c0afaf854648ce855c98b3c96846610e788129d6736	12fafb8791ad8ff7edd39d6d5e1650ddccc09e83f7bf187d963e311acf4458e8	1749
40	2303	137	legacy	0	23	0x17	POP	POP_SS	I86	BASE	POP	0x17 MODE!=2	e43ee457d68e16364ea7002b08f6dc8f8a4d0d259dd11066d67f52a8406affc9	NOTSX	16,32	16,32,64	16,32,64		False				False		PROHIBITED		0		0	0	False	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945	2191363bf2f3606c2a60dd7f4e19d52b3134f45b8edfe4c9e6babaac1dfdc770	d0e3541d9386d2e47187aac4b53cc9e780d9934d42b78fc5d7097cbf235680b5	885
